# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e2dnde, unit: erg / (cm2 s), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# schema: astropy-2.0
energy e2dnde excess background criterion
0.12589254117941673 8.535447869211764e-13 64.32387412932978 358.6 significance
0.19952623149688797 4.879662852495928e-13 47.33986306670111 189.60000000000002 significance
0.31622776601683805 4.964376267693969e-13 33.22650971834271 89.80000000000001 significance
0.5011872336272724 4.264297070487965e-13 25.687104927121386 51.6 significance
0.7943282347242816 3.590414180215958e-13 18.24066424336649 24.200000000000003 significance
1.2589254117941675 2.223846319829211e-13 13.733434044262511 12.600000000000001 significance
1.9952623149688802 2.5049041094389885e-13 11.589196284111244 8.4 significance
3.1622776601683795 1.9871419866582555e-13 10.244923096907598 6.2 significance
5.011872336272723 3.0076784078952034e-13 9.697747595537347 5.4 significance
7.943282347242814 2.842182417763752e-13 7.9368591519395215 3.2 significance
12.58925411794167 3.460706032711358e-13 6.931766321954422 2.2 significance
19.952623149688797 5.1986684579331e-13 6.931766321954422 2.2 significance
31.622776601683803 6.524267075262657e-13 5.0 0.6000000000000001 gamma
50.11872336272726 7.948139939960819e-13 5.0 0.2 gamma
79.4328234724282 1.9802362097181604e-12 5.0 0.4 gamma
